DepartmentCode	Username	FullName	Email	EmployeeCode
CBSX	vpp.cbsx	Nguyễn Minh Anh	vpp.cbsx@demo.gtas.local	VPP001
CONGNGHEMAY	vpp.congnghemay	Trần Hoàng Nam	vpp.congnghemay@demo.gtas.local	VPP002
CONGNGHEWASH	vpp.congnghewash	Lê Thu Hà	vpp.congnghewash@demo.gtas.local	VPP003
CPD	vpp.cpd	Phạm Quốc Bảo	vpp.cpd@demo.gtas.local	VPP004
DAUTU	vpp.dautu	Võ Ngọc Mai	vpp.dautu@demo.gtas.local	VPP005
DINHMUC	vpp.dinhmuc	Đặng Thành Đạt	vpp.dinhmuc@demo.gtas.local	VPP006
FD	vpp.fd	Bùi Khánh Linh	vpp.fd@demo.gtas.local	VPP007
FQM	vpp.fqm	Đỗ Đức Huy	vpp.fqm@demo.gtas.local	VPP008
GIAMDINH	vpp.giamdinh	Hồ Gia Hân	vpp.giamdinh@demo.gtas.local	VPP009
HCQT	vpp.hcqt	Ngô Tuấn Kiệt	vpp.hcqt@demo.gtas.local	VPP010
HOANTATPHUOCLONG	vpp.hoantatphuoclong	Dương Thảo Vy	vpp.hoantatphuoclong@demo.gtas.local	VPP011
IT	vpp.it	Lý Nhật Minh	vpp.it@demo.gtas.local	VPP012
KD1	vpp.kd1	Nguyễn Hải Yến	vpp.kd1@demo.gtas.local	VPP013
KD16	vpp.kd16	Trần Quang Vinh	vpp.kd16@demo.gtas.local	VPP014
KD17	vpp.kd17	Lê Phương Thảo	vpp.kd17@demo.gtas.local	VPP015
KD19	vpp.kd19	Phạm Minh Khang	vpp.kd19@demo.gtas.local	VPP016
KD2	vpp.kd2	Võ Thanh Trúc	vpp.kd2@demo.gtas.local	VPP017
KD25	vpp.kd25	Đặng Anh Dũng	vpp.kd25@demo.gtas.local	VPP018
KD26	vpp.kd26	Bùi Mỹ Linh	vpp.kd26@demo.gtas.local	VPP019
KD27	vpp.kd27	Đỗ Hoài Phong	vpp.kd27@demo.gtas.local	VPP020
KD28	vpp.kd28	Hồ Bảo Ngọc	vpp.kd28@demo.gtas.local	VPP021
KD3	vpp.kd3	Ngô Đức Anh	vpp.kd3@demo.gtas.local	VPP022
KD4	vpp.kd4	Dương Kim Oanh	vpp.kd4@demo.gtas.local	VPP023
KD5+6+18	vpp.kd5.6.18	Lý Thanh Tùng	vpp.kd5.6.18@demo.gtas.local	VPP024
KD7	vpp.kd7	Nguyễn Quỳnh Như	vpp.kd7@demo.gtas.local	VPP025
KD8	vpp.kd8	Trần Gia Bảo	vpp.kd8@demo.gtas.local	VPP026
KEHOACH	vpp.kehoach	Lê Hồng Nhung	vpp.kehoach@demo.gtas.local	VPP027
KEHOACHPNC	vpp.kehoachpnc	Phạm Tuấn Anh	vpp.kehoachpnc@demo.gtas.local	VPP028
KHOLA	vpp.khola	Võ Minh Châu	vpp.khola@demo.gtas.local	VPP029
KHOTONG	vpp.khotong	Đặng Quốc Khánh	vpp.khotong@demo.gtas.local	VPP030
LIENVUNG1	vpp.lienvung1	Bùi Thanh Hằng	vpp.lienvung1@demo.gtas.local	VPP031
LONGAN	vpp.longan	Đỗ Trung Hiếu	vpp.longan@demo.gtas.local	VPP032
MAULONGAN	vpp.maulongan	Hồ Ngọc Trâm	vpp.maulongan@demo.gtas.local	VPP033
NHOMFITTECHRAP	vpp.nhomfittechrap	Ngô Minh Triết	vpp.nhomfittechrap@demo.gtas.local	VPP034
NSTL	vpp.nstl	Dương Mai Phương	vpp.nstl@demo.gtas.local	VPP035
PHAPCHE	vpp.phapche	Lý Hoàng Long	vpp.phapche@demo.gtas.local	VPP036
PKTLA	vpp.pktla	Nguyễn Thùy Dương	vpp.pktla@demo.gtas.local	VPP037
PPJWISER	vpp.ppjwiser	Trần Thanh Sơn	vpp.ppjwiser@demo.gtas.local	VPP038
PURCHASING	vpp.purchasing	Lê Ngọc Diệp	vpp.purchasing@demo.gtas.local	VPP039
QA	vpp.qa	Phạm Anh Tuấn	vpp.qa@demo.gtas.local	VPP040
QLTBMAY	vpp.qltbmay	Võ Khánh Vy	vpp.qltbmay@demo.gtas.local	VPP041
RD	vpp.rd	Đặng Minh Quân	vpp.rd@demo.gtas.local	VPP042
SOURCING	vpp.sourcing	Bùi Thu Trang	vpp.sourcing@demo.gtas.local	VPP043
TCKT	vpp.tckt	Đỗ Thành Công	vpp.tckt@demo.gtas.local	VPP044
TCKTKHO	vpp.tcktkho	Hồ Phương Linh	vpp.tcktkho@demo.gtas.local	VPP045
TCKTVTJ	vpp.tcktvtj	Ngô Quốc Việt	vpp.tcktvtj@demo.gtas.local	VPP046
THEUMAU	vpp.theumau	Dương Ngọc Ánh	vpp.theumau@demo.gtas.local	VPP047
TQM	vpp.tqm	Lý Đức Thịnh	vpp.tqm@demo.gtas.local	VPP048
TTHTLINHTRUNG	vpp.tthtlinhtrung	Nguyễn Thanh Tâm	vpp.tthtlinhtrung@demo.gtas.local	VPP049
WASHLINHTRUNG	vpp.washlinhtrung	Trần Minh Nhật	vpp.washlinhtrung@demo.gtas.local	VPP050
XNK	vpp.xnk	Lê Bảo Châu	vpp.xnk@demo.gtas.local	VPP051
XUONGMAYMAU	vpp.xuongmaymau	Phạm Hải Đăng	vpp.xuongmaymau@demo.gtas.local	VPP052
